BMU;Dist
1043;0.2
1044;0.26
1045;0.09
1046;0.01
1047;0.03
1048;0.06
1049;0.25
1050;0.69
1051;0.26
1052;0.06
1053;0.04
1054;0.0
1055;0.02
1056;0.01
1057;0.22
1058;0.55
1059;0.37
1060;0.18
1061;0.26
1062;0.12
1063;0.28
1064;0.27
1065;0.24
1066;0.09
1067;0.04
1068;0.0
1069;0.0
1070;0.0
1071;0.03
1072;0.07
1073;0.34
1074;0.79
1075;0.29
1076;0.06
1077;0.17
1078;0.22
1079;0.2
1080;0.25
1081;0.17
1082;0.0
1083;0.01
1084;0.03
1085;0.2
1086;0.2
1087;0.03
1088;0.04
1089;0.03
1090;0.26
1091;0.0
1092;0.26
1093;0.03
1094;0.04
1095;0.06
1096;0.0
1097;0.69
1098;0.0
1099;0.06
1100;0.0
1101;0.0
1102;0.0
1103;0.0
1104;0.01
1105;0.09
1106;0.46
1107;0.22
1108;0.21
1109;0.21
1110;0.24
1111;0.22
1112;0.41
1113;0.04
1114;0.07
1115;0.01
1116;0.01
1117;0.01
1118;0.01
1119;0.03
1120;0.07
1121;0.29
1122;0.54
1123;0.24
1124;0.23
1125;0.45
1126;0.22
1127;0.25
1128;0.0
1129;0.01
1130;0.01
1131;0.08
1132;0.23
1133;0.18
1134;0.23
1135;0.05
1136;0.01
1137;0.1
1138;0.26
1139;0.2
1140;0.22
1141;0.18
1142;0.06
1143;0.25
1144;0.69
1145;0.32
1146;0.06
1147;0.03
1148;0.0
1149;0.0
1150;0.0
1151;0.04
1152;0.1
1153;0.31
1154;0.58
1155;0.18
1156;0.03
1157;0.08
1158;0.02
1159;0.18
1160;0.42
1161;0.18
1162;0.07
1163;0.06
1164;0.0
1165;0.07
1166;0.02
1167;0.16
1168;0.34
1169;0.39
1170;0.51
1171;0.37
1172;0.22
1173;0.16
1174;0.03
1175;0.06
1176;0.01
1177;0.0
1178;0.23
1179;0.0
1180;0.23
1181;0.0
1182;0.01
1183;0.01
1184;0.01
1185;0.25
1186;0.22
1187;0.44
1188;0.31
1189;0.31
1190;0.39
1191;0.39
1192;0.06
1193;0.04
1194;0.01
1195;0.01
1196;0.01
1197;0.01
1198;0.1
1199;0.03
1200;0.58
1201;0.0
1202;0.03
1203;0.0
1204;0.0
1205;0.02
1206;0.0
1207;0.42
1208;0.02
1209;0.08
1210;0.18
1211;0.18
1212;0.18
1213;0.16
1214;0.31
1215;0.35
1216;0.32
1217;0.75
1218;0.24
1219;0.03
1220;0.04
1221;0.01
1222;0.01
1223;0.08
1224;0.23
1225;0.17
1226;0.23
1227;0.12
1228;0.01
1229;0.01
1230;0.02
1231;0.08
1232;0.05
1233;0.24
1234;0.25
1235;0.28
1236;0.25
1237;0.37
1238;0.43
1239;0.14
1240;0.03
1241;0.01
1242;0.0
1243;0.03
1244;0.1
1245;0.2
1246;0.58
1247;0.3
1248;0.03
1249;0.01
1250;0.0
1251;0.01
1252;0.02
1253;0.22
1254;0.42
1255;0.17
1256;0.15
1257;0.13
1258;0.0
1259;0.12
1260;0.16
1261;0.22
1262;0.05
1263;0.46
1264;0.72
1265;0.25
1266;0.03
1267;0.02
1268;0.0
1269;0.01
